target_child_id,log_mtld_t1,log_mtld_t2,age_t1,age_diff,log_transcript_length_t1,log_transcript_length_t2,mlu_m_t1,mlu_m_t2,log_freq_t1,mtld_resid,mlu_resid
5049,1.8946028656156608,2.574085246943147,692.436931251155,131.535606245948,9.077722847361343,10.161303025381615,1.9668833333333333,3.5290285714285714,8.102715185331865,0.1524477540459177,0.6635553146403312
14768,1.9155289395795734,2.195462723454032,746.099387174275,78.8922701056973,8.066521490469993,11.47421582119874,1.66538,1.952266037735849,8.136457213983286,-0.23346660609612613,-0.6146228382112158
14797,3.4508414650113743,3.204656623467396,680.015066454137,150.100323140252,7.428927194802272,8.216898580913613,NA,NA,8.194880898073162,-0.31913536488430116,NA
14809,2.308197091042857,2.5457199557049255,683.624438489497,138.187386496643,5.7745515455444085,5.968707559985366,2.1176500000000003,2.9423,9.505238880979393,-0.004056287897029609,0.22387993498778824
14830,2.3129555946432716,2.38042757975798,682.905689079858,141.906133442165,6.395261598115449,5.720311776607412,2.4748,2.944,8.964889226160297,-0.15047120047591545,-0.21984964107357996
14844,1.9938839542622862,2.4657162794687038,688.343184613647,135.468638729748,6.46302945692067,6.253828811575473,1.78815,2.1296,8.096804792870115,0.04975780437166577,-0.31173136798978707
14854,1.8722387390481872,1.9459101490553132,687.843185024333,129.531143606645,5.572154032177765,4.770684624465665,1.3096999999999999,1.3556,7.816301103399056,-0.3648337943191209,-0.3930996689684436
14871,2.6921418763632454,2.3947730642234824,697.624426990287,132.968640783178,6.957497370876951,6.226536669287466,2.2596600000000002,1.6543,10.244934824568835,-0.20515118371354868,-1.0633751386200823
14879,2.711698741175103,2.7533837424037286,684.124438078811,128.249894659028,6.51471269087253,5.802118375377063,1.73035,1.8441,8.967046344485944,-0.02607161897129595,-0.3057428008028369
14909,2.267029281222338,2.3991640617868653,682.124439721555,138.249886445307,5.3230099791384085,5.389071729816501,1.3904999999999998,2.0397,8.881808987117392,-0.18153358388583385,0.18802106419576714
14917,1.6977069701605827,2.238575601273308,685.124437257439,138.687386085957,5.3981627015177525,4.700480365792417,1.3714499999999998,1.4789,9.028150701836807,0.1381975370232369,-0.24777171741057158
14928,2.5875044200988047,2.7971699277255384,687.843185024333,137.968636676318,5.8916442118257715,5.971261839790462,1.33495,2.8545,9.205568427873192,0.05020970472717057,1.0896892584471014
14942,2.3481302955559604,2.517719649939443,686.62443602538,169.624860674757,6.6052979209482015,6.095824562432225,2.1079,2.5574,9.673572330616024,-0.0014522255949125373,-0.23789077174812112
14954,1.9713244774778809,2.5466200033396325,645.186970060987,175.187356105875,4.770684624465665,4.787491742782046,1.2258,1.6575,10.135144523553016,0.14131981685788375,0.06566953883688931
14966,2.209469599502445,2.6149289162212286,691.62443191852,135.187388960759,6.680854678790215,6.60934924316738,2.62265,4.165,9.663173593005858,0.20671298519767012,0.8419073642395083
14977,1.8204724081281751,2.528223563072181,685.843186667077,137.968636676318,5.860786223465865,5.713732805509369,1.5091,1.8011,9.18179088497029,0.3175867948872009,-0.15408835354271289
14994,1.73658448386278,2.175239360642838,673.124447113904,178.906103051397,6.0014148779611505,5.823045895483019,1.2086000000000001,1.8337999999999999,9.011028921481168,-0.07612813096036808,0.03988160670418783
15001,2.2831883930053776,2.35763027988118,687.843185024333,168.18736185548,5.948034989180646,6.904750769961838,1.4719,1.8277,9.015033690113965,-0.3125937096925586,-0.40717699605370417
15014,1.9209342634102742,1.9189724933235044,688.843184202961,133.968639961806,4.8283137373023015,4.820281565605037,1.2359,1.1442,9.05419542909049,-0.3811549876567617,-0.46188869116380027
15030,2.489148986354602,2.7909066507380857,681.90568990123,135.468638729748,6.618738983517219,6.618738983517219,2.4411,4.2262,9.33576623707873,0.12340840434920919,1.1024311595294392
15038,1.8357225578635643,2.348247811299283,691.343182149531,176.906104694142,5.455321115357702,5.10594547390058,1.3176,2.25,8.936389632068334,0.08711170381641464,0.3138417157438278
15062,2.6455298441208766,2.313544554940842,726.061903632518,82.5311822111337,4.290459441148391,4.564348191467836,2.0227,1.0945,10.181170484820043,-0.2313687646407412,-1.1819794138271882
15068,2.2724322807947477,2.343387828782873,689.843183381589,134.968639140434,4.820281565605037,4.770684624465665,1.4618,1.5429,8.76084282091734,-0.22102981013034384,-0.38774710652062794
15080,2.4505945047992217,2.7331298854992347,687.343185435019,146.468629694655,4.672828834461906,5.0106352940962555,1.41265,2.5692,9.518781479517278,0.06577504761761288,0.6948283067167127
15093,2.005527800856238,2.2803893606022614,686.124436436067,130.249893016284,5.5254529391317835,5.187385805840755,1.65615,2.1548,9.299381972621955,-0.0213984069449773,0.10083688649003619
15109,2.418030444699305,2.9101558998741988,695.843178453356,125.968646532783,5.799092654460526,5.823045895483019,1.71515,2.619,8.575442709786982,0.25801320609096967,0.35217430009209005
15120,3.2657904391556314,2.8118218680707883,685.124437257439,141.68738362184,5.545177444479562,6.003887067106539,2.0020499999999997,3.1032,10.763087993098408,-0.29332586054305176,0.6401325939427096
15134,3.485704857037351,3.180869835538994,727.061902811146,94.7499221749932,4.912654885736052,5.857933154483459,3.037,3.9712,8.814187798902704,-0.13981258166650878,0.07809391086360362
15156,2.4358504927988047,3.409807350140501,743.499389309842,74.8749384997639,4.23410650459726,3.6109179126442243,1.4788999999999999,1.7391,8.17986566208634,0.9479085524596451,0.011026239981688724
15170,3.207128157821466,2.682846346738922,688.124434793322,132.24989137354,5.616771097666572,4.30406509320417,2.23025,1.7556,10.51031965575049,-0.2304324494503449,-0.7684404593280425
15197,1.882397397073329,1.8144670201004716,698.770259382465,127.041562318186,4.919980925828125,4.418840607796598,1.2522333333333333,1.3793,8.54421632868957,-0.42860954517039795,-0.23698844617465964
15206,2.591093558606621,3.2404593965353734,664.811953941559,161.99986693772,5.820082930352362,4.882801922586371,2.0323,2.7636,9.588954200868367,0.5230417045987332,0.20935788878531136
