word,Estimate,SE,t,n_know
happen,0.26719391655509267,0.16354882517849656,1.633725685668963,4
happened,0.05771346351727627,0.17973689541120924,0.32109970179042596,3
happiness,0.2916087924377327,0.30292455482109026,0.962644948376533,1
happy,0.12518520003444328,0.12942099925862172,0.9672711596383671,10
hat,0.09666179055868682,0.09875217388325223,0.9788320272621367,21
have_to,0.2916087924377327,0.30292455482109026,0.962644948376533,1
having,0.10083926203674709,0.17864128377033667,0.5644790493466629,3
heavy,0.2534078338838115,0.18367300238811995,1.3796683812481851,3
help,0.17711462717747303,0.1141644350693538,1.551399322125823,14
high+chair,0.2916087924377327,0.30292455482109026,0.962644948376533,1
hm,0.08191010318805178,0.12063721846310013,0.6789787118069703,11
hole,0.13709259172566912,0.15307376326180713,0.8955982318876888,4
horse,0.1833934366117371,0.1091708190808539,1.6798759792753097,11
horsie,0.011237619916239491,0.1016272795983053,0.11057680536818075,13
hot,0.17783785609310437,0.1114941134745659,1.5950425592080504,14
Humm,0.2916087924377327,0.30292455482109026,0.962644948376533,1
ice+cream,0.1418759319040558,0.11663825718610615,1.2163756157439907,10
ice+cube,0.2916087924377327,0.30292455482109026,0.962644948376533,1
icing,0.2916087924377327,0.30292455482109026,0.962644948376533,1
it's,0.13283629969107047,0.08911787584941248,1.4905685130504174,19
Jack,0.2916087924377327,0.30292455482109026,0.962644948376533,1
jammie,0.2916087924377327,0.30292455482109026,0.962644948376533,1
Jim,0.2916087924377327,0.30292455482109026,0.962644948376533,1
jump,0.1188035785538724,0.12002975271533405,0.9897844148327983,9
kak,0.2916087924377327,0.30292455482109026,0.962644948376533,1
kangaroo,0.14862407641152378,0.18083189508864472,0.8218908303685447,3
kitchen,0.36516937846246145,0.24209466942173274,1.5083743038816382,2
Kix,0.2916087924377327,0.30292455482109026,0.962644948376533,1
lady,0.17072458131160925,0.11376287907698854,1.5007055262382392,8
Lassie,0.2916087924377327,0.30292455482109026,0.962644948376533,1
let,0.1327219202493816,0.14672356820532845,0.9045712415039374,5
lion,0.06482417785454175,0.10145318514670283,0.6389565567685728,12
little,0.12093422077450543,0.09830618671061322,1.2301791455964313,15
living+room,0.2916087924377327,0.30292455482109026,0.962644948376533,1
long,0.12635609511256762,0.178799803529063,0.7066903465138824,3
lunch,0.15024244129675618,0.21838845545704508,0.6879596313016071,2
mailbox,0.14953132405908628,0.21534999304439964,0.6943641926575627,2
making,0.16510869296513353,0.1458951616303292,1.131694095404533,6
Mama,0.0010371448719272943,0.10325528208284467,0.010044472796027649,11
man,0.13142736518699552,0.0979597003750441,1.3416472762147966,14
many,0.1696639975794583,0.21143377406485836,0.8024451075986234,2
manys,0.2916087924377327,0.30292455482109026,0.962644948376533,1
may,0.08304407564380593,0.2163783202160741,0.383791109760343,2
mhm,0.11539214213442192,0.10442167719886533,1.1050592676716344,12
milk,0.05597814972714814,0.11099893852150367,0.5043124778738634,12
mine,0.06166006737007901,0.09267134972815833,0.6653627852723883,15
minute,0.22741943208409734,0.17866489517803535,1.272882576386812,3
Mom,-0.1450050604712643,0.15499494265731767,-0.9355470442145957,4
moo,0.028734531809290642,0.13123702510735027,0.21895141089784798,6
more,0.1790179058112866,0.08727318345456835,2.0512361154383427,36
mustache,0.2916087924377327,0.30292455482109026,0.962644948376533,1
name,0.13704124532639883,0.1302876117413853,1.0518363449505788,8
nap,0.17259809752934083,0.18424641722727836,0.9367785823288565,3
napkin,0.15024244129675618,0.21838845545704508,0.6879596313016071,2
napkins,0.2916087924377327,0.30292455482109026,0.962644948376533,1
need,0.13852527618883848,0.11430655992141044,1.2118751214635382,11
new,0.09193498721859455,0.1394402005718868,0.6593147947402623,5
not,0.06698235336506883,0.09940212173716365,0.6738523503772055,18
now,0.18289724144462843,0.10247070277067122,1.7848734955390253,17
of,0.17389833668174673,0.11346024702069442,1.5326807516118732,12
off,0.13762121287690537,0.10748352632435161,1.280393541067937,22
open,0.28056109059790996,0.1151696734376372,2.4360674318472384,17
out,0.107641392352126,0.09629961158039156,1.117775976305639,27
paddle,0.2916087924377327,0.30292455482109026,0.962644948376533,1
Pap,0.2916087924377327,0.30292455482109026,0.962644948376533,1
Papa,0.11949756074901369,0.2159853267900989,0.5532670321866126,2
paper,0.20876549582437542,0.137294690456407,1.5205649623476256,9
party,0.19582562931390773,0.17588013559658316,1.113403902320576,3
peanut+butter,0.24926488514347464,0.2009934581725397,1.240164169569624,3
pee+pee,0.2916087924377327,0.30292455482109026,0.962644948376533,1
peek,0.2916087924377327,0.30292455482109026,0.962644948376533,1
peekaboo,0.243826918444174,0.2110246553168104,1.1554427992222887,2
peel,0.2916087924377327,0.30292455482109026,0.962644948376533,1
pencil,0.243826918444174,0.2110246553168104,1.1554427992222887,2
penny,0.23175204454112394,0.13075653132940745,1.7723936401867701,7
piece,0.09985808872781574,0.14280175691676344,0.6992777321781917,6
pillow,0.3124692733489469,0.18355931824406665,1.7022795483118827,3
pipe,0.20439438079057734,0.2103692528084758,0.9715981687526452,2
play,0.173084385064075,0.120056418591551,1.4416920569064506,14
playing,0.10396431633497531,0.13937769340330675,0.7459178997469961,5
pocket,0.08115640556120965,0.12847968034691326,0.6316672437390559,6
poor,0.1250449591091406,0.15511649446182993,0.806135798407376,4
Pop,0.023640734247264324,0.2143243049539906,0.11030356194244663,2
pudding,0.2916087924377327,0.30292455482109026,0.962644948376533,1
pull,0.14847319398648473,0.1337437960853153,1.1101314478300999,6
push,0.12947031247032922,0.11810921086582972,1.096191495322118,9
putting,0.05937686490480538,0.18365232055716468,0.32331126949372463,3
puzzle,0.011440175288799847,0.11644916009394579,0.09824180165464863,8
rattle,0.2916087924377327,0.30292455482109026,0.962644948376533,1
