type,.,
low_crit_words,stuff,pro
low_crit_words,sweep,V
low_crit_words,sweeties,N
low_crit_words,tall,adj
low_crit_words,teddybear,N
low_crit_words,tee,N
low_crit_words,tent,N
low_crit_words,thank,V
low_crit_words,thanks,N
low_crit_words,their,pro
low_crit_words,they're,pro
low_crit_words,things,N
low_crit_words,thirteen,number
low_crit_words,tick+tock,o
low_crit_words,Tinky_Winky,name
low_crit_words,Toby,name
low_crit_words,today,N
low_crit_words,toes,N
low_crit_words,tow,V
low_crit_words,tray,N
low_crit_words,twelve,number
low_crit_words,twinkle,o
low_crit_words,ugh,o
low_crit_words,uhhum,o
low_crit_words,video,N
low_crit_words,w,o
low_crit_words,wake,V
low_crit_words,walking,V
low_crit_words,wanted,V
low_crit_words,was,V
low_crit_words,wear,V
low_crit_words,weasel,N
low_crit_words,welcome,o
low_crit_words,Wendy,name
low_crit_words,whistle,N
low_crit_words,whoa,N
low_crit_words,whose,pro
low_crit_words,wide,adj
low_crit_words,wiggle,V
low_crit_words,witch,N
low_crit_words,wood,N
low_crit_words,word,N
low_crit_words,working,V
low_crit_words,worm,N
low_crit_words,would,V
low_crit_words,yay,o
low_crit_words,you're,pro
low_crit_words,yuck,o
